meeting_id,chunk_id,text,corpus,human_label
Bmr027,Bmr027_570,"my , i was thinking that with the nsa meetings , i 'd like there are three of them , and they 're , i will have them done by monday .",ICSI,action_item
ES2013c,ES2013c_276,and we should each have a presentation to make .,AMI,action_item
IS1001d,IS1001d_130,then i've i will also take notes during this meeting and i will send you a summary then as usual .,AMI,action_item
TS3011c,TS3011c_385,", it's it's when we come back in thirty minutes , you will have a prototype ready .",AMI,action_item
EN2001d,EN2001d_427,we should certainly take away the labels that say minus four times as well .,AMI,action_item
ES2002d,ES2002d_620,", i mean if you , i mean sort of taking upon that idea , w the way i see this i is that it's the s the structure in which we've we've approached this whole task is quite contrary to the p principle of teamwork because the tasks were d sort of divided , and then the work went on in isolation i don't know what you guys did while you were together , maybe that was a bit different , but , but but actually if you if you imagine not entire the completely same task given to us but us said , first thing we have to do is come up with let's say a design concept , and we sit here together and do it , well that's what teamwork is .",AMI,action_item
Bmr021,Bmr021_424,"i will by next week , though .",ICSI,action_item
IS1009b,IS1009b_206,"so i'll be coming to you for how much is it gonna cost us and how long is it gonna take you , and i'll be coming to you to tell me what's gonna make somebody take out their wallet you know , what's what's gonna really be what they call a sizzle , 'cause we gotta sell this sizzle .",AMI,action_item
IS1000a,IS1000a_33,you all get certain task in this in this phase and then we will meet again and discuss this functional design .,AMI,action_item
IS1004b,IS1004b_344,next meeting here are the task you have to work on .,AMI,action_item
Bed006,Bed006_500,"and then , secondly , we had , you may remember , the problem with the re - phrasing , that subject always re - phrase sort of the task that we gave them , and so we had a meeting on friday talking about how to avoid that , and it proved finally fruitful in the sense that we came up with a new scenario for how to get the subject m to really have intentions and sort of to act upon those , and there the idea is now that next actually we need to hire one more person to actually do that job because it 's getting more complicated .",ICSI,action_item
Bed011,Bed011_129,"and one just s sort of has to watch which also final decision node so it doesn't make sense t to figure out whether he wants to enter , view or approach an object if he never wants to go there in the first place .",ICSI,action_item
Bmr002,Bmr002_903,"i 'm gonna go download "" transcriber "" and jane and i will look at it well i think the answer is we need to record as many as we can .",ICSI,action_item
IN1005,IN1005_468,but i think for any kind of way you have to select those alpha you have to look at the effect on the re on the t evaluation task .,AMI,action_item
EN2002d,EN2002d_644,well i will well i will i will need your snippets of code or it'd be good if i had them by tomorrow evening .,AMI,action_item
ES2010c,ES2010c_229,"we have to make sure that logo always sticks out when we put the latex covers on , so we'll have to like have a little square or something , so that the our logo's available .",AMI,action_item
IN1012,IN1012_265,"at the end then they will ask you to synthesise some sentence and you have to synthesise them and then you have to send them your training data , onl no development , training , no , training evaluate it's again subject to s because for speech synthes .",AMI,action_item
EN2003a,EN2003a_328,"but i think what we should say is when i put out this call , i'll put both deadlines , and i think i'll say that when you send in your abstract , you need to mention that any technology you intend to use , so that at least if we have all the information ?",AMI,action_item
ES2002d,ES2002d_205,"and the end result of this meeting has to be a decision on the details of this remote control , like absolute final decision , and then i'm gonna have to specify the final design in the final report .",AMI,action_item
